college_name,location,num_courses_offered,college_rating,exams_accepted,exam_count,min_fees,max_fees,avg_fees,placement_rating,min_package,max_package,avg_package
Vishwakarma Institute of Technology,Pune,13,4.0,MHT CETJEE Main,1,4.88,6.5,5.69,4.0,6.7,7.0,6.85
Netaji Subhas University of Technology,Delhi,13,4.1,JEE Main / JAC Delhi / DASA UG +2,5,3.95,3.95,3.95,4.1,15.0,15.0,15.0
IIT Kharagpur - Indian Institute of Technology,Kharagpur,63,4.5,JEE Main / JEE Advanced,2,8.0,8.18,8.09,4.5,19.76,21.28,20.52
R.V. College of Engineering,Bangalore,15,4.1,JEE Main / COMEDK UGETKCET +2,4,1.28,70.0,35.64,4.1,10.0,10.0,10.0
Galgotias College of Engineering and Technology,Greater Noida,16,4.1,UPTAC,1,2.45,2.45,2.45,4.1,4.25,4.25,4.25
Vellore Institute of Technology - Chennai Campus,Chennai,18,4.2,VITEEECBSE 12th / ISCTamilnadu 12th +3,5,4.8,7.8,6.3,4.3,,,
BMS College of Engineering,Bangalore,15,4.2,COMEDK UGETKCET,1,64.68,40.0,52.34,4.2,7.0,9.0,8.0
IIT Kanpur - Indian Institute of Technology,Kanpur,8,4.6,JEE Main / JEE Advanced,2,8.0,8.0,8.0,4.6,19.4,19.4,19.4
"Amity School of Engineering and Technology, Amity University, Noida",Noida,26,4.1,CUETCBSE 12th / UP 12th / ISC +3,6,7.48,26.36,16.92,4.1,5.8,6.3,6.05
MNIT Jaipur - Malaviya National Institute of Technology,Jaipur,8,4.2,JEE Main,1,2.0,2.5,2.25,4.2,6.5,15.5,11.0
Institute of Engineering and Management,Kolkata,12,3.7,JEE Main / WBJEE,2,4.17,4.17,4.17,3.7,6.0,6.0,6.0
"Rajarshi Shahu College of Engineering, Pune",Pune,8,4.1,MHT CETJEE Main,1,6.2,6.2,6.2,4.1,,,
IIIT Allahabad - Indian Institute of Information Technology,Allahabad,3,4.4,CSABJEE Main,1,6.48,6.48,6.48,4.7,,,
Dwarkadas J. Sanghvi College of Engineering,Mumbai,9,4.1,MHT CETJEE Main,1,7.65,7.65,7.65,4.1,6.0,8.1,7.05
"Jain Deemed -to- be University, Faculty of Engineering and Technology",Bangalore,74,4.0,JEE Main / COMEDK UGETKCETUni-GAUGEJETCBSE 12th / ISCKarnataka 2nd PUC +7,10,3.86,15.0,9.43,4.0,6.0,6.0,6.0
Ajay Kumar Garg Engineering College,Ghaziabad,16,3.8,JEE Main / UPTAC,2,2.45,4.45,3.45,3.5,,,
Chennai Institute of Technology,Chennai,14,4.4,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,2.0,2.0,4.6,,,
"Chandigarh Group of Colleges, Landran",Chandigarh,21,4.3,JEE Main / CBSE 12th / ISCPSEB 12th / PTU BTech +4,8,4.94,6.58,5.76,4.3,,,
IIT Gandhinagar - Indian Institute of Technology,Gandhinagar,11,4.4,JEE Main / JEE Advanced,2,8.0,10.0,9.0,4.4,16.0,16.0,16.0
IIT Mandi - Indian Institute of Technology,Mandi,13,4.3,JEE Main / JEE Advanced,2,8.08,8.08,8.08,4.3,9.0,22.23,15.62
Thakur College of Engineering and Technology,Mumbai,12,4.1,MHT CETJEE Main,1,5.57,5.57,5.57,4.1,4.5,4.5,4.5
"KL College of Engineering, KL University",Guntur,19,4.3,JEE Main / AP EAMCETJEE Advanced / KLEEEUni-GAUGE +4,7,6.0,12.0,9.0,4.4,,,
All India Shri Shivaji Memorial Society's College of Engineering,Pune,11,3.8,MHT CETJEE Main,1,4.59,4.59,4.59,3.5,,,
Greater Noida Institute of Technology,Greater Noida,29,3.8,JEE Main / UPTACCUETIPU CET +3,5,2.25,6.08,4.16,3.8,4.6,4.6,4.6
"Cummins College of Engineering for Women, Pune",Pune,7,4.1,MHT CETJEE Main,1,4.57,5.77,5.17,4.1,8.0,8.0,8.0
ABES Engineering College,Ghaziabad,11,4.0,UPTAC,1,2.45,2.45,2.45,4.0,5.0,5.0,5.0
KIET Group of Institutions,Ghaziabad,15,4.1,JEE Main,1,2.45,4.48,3.47,4.1,4.5,4.5,4.5
"G.H. Raisoni College of Engineering, Nagpur",Nagpur,13,3.9,MHT CETJEE Main,1,6.81,6.81,6.81,3.9,4.5,4.5,4.5
NIT Surathkal - National Institute of Technology,Mangalore,11,4.4,JEE Main / KCETDASA UG +1,3,5.0,5.0,5.0,4.4,14.21,14.21,14.21
DSU - Dayananda Sagar University,Bangalore,11,4.0,JEE Main / COMEDK UGETKCETUni-GAUGEDSAT +4,6,15.68,18.88,17.28,4.0,4.25,4.25,4.25
NIT Puducherry - National Institute of Technology,Pondicherry,5,3.4,JEE Main / DASA UG,2,5.0,5.0,5.0,3.4,6.0,9.0,7.5
"SRM University, Andhra Pradesh",Guntur,23,4.2,AP EAMCETSRMJEEE,1,4.08,18.4,11.24,4.2,6.56,6.56,6.56
UEM Kolkata - University of Engineering and Management,Kolkata,16,4.0,IEMJEE,1,5.6,5.85,5.72,4.0,4.25,4.25,4.25
VIT Bhopal University,Bhopal,17,4.0,VITEEE,1,6.0,7.92,6.96,4.1,,,
IIT Hyderabad - Indian Institute of Technology,Hyderabad,15,4.4,JEE Main / JEE Advanced,2,8.0,8.0,8.0,4.3,,,
NIT Meghalaya - National Institute of Technology,Shillong,5,3.9,JEE Main,1,5.0,5.0,5.0,3.9,,,
"Indian Institute of Information Technology, Design and Manufacturing, Kurnool",Kurnool,7,3.7,JEE Main / AP EAMCET,2,7.04,8.8,7.92,3.7,9.06,9.06,9.06
"Institute of Engineering and Technology (IET), Dr. A.P.J. Abdul Kalam Technical University",Lucknow,13,3.7,JEE Main / UPTACCBSE 12th / UP 12th / ISC +4,8,2.74,3.4,3.07,3.7,5.7,5.7,5.7
"Amity University, Mumbai",Mumbai,18,4.1,MHT CETJEE Main / CUETICAR AIEEANEET +4,6,8.24,15.28,11.76,4.1,5.0,5.0,5.0
SKCET - Sri Krishna College of Engineering and Technology,Coimbatore,14,4.2,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,2.0,2.0,4.2,6.0,6.5,6.25
"SMIT - Sikkim Manipal Institute of Technology, Sikkim Manipal University",Rangpo,23,4.1,JEE Main / SMIT Online Test / MET +2,5,9.38,14.42,11.9,3.8,,,
ITS Engineering College,Greater Noida,18,4.0,JEE Main / UPTAC,2,1.98,4.24,3.11,4.0,3.6,3.6,3.6
Fr. Conceicao Rodrigues College of Engineering,Mumbai,11,4.1,MHT CETJEE Main / CBSE 12th / ISCMaharashtra HSC +4,7,4.3,6.32,5.31,4.1,6.5,6.5,6.5
"JSS Academy of Technical Education, JSS Mahavidyapeetha, Noida",Noida,25,3.7,JEE Main / UPTAC,2,2.45,2.91,2.68,3.7,4.5,4.5,4.5
East Point Group of Institutions,Bangalore,8,3.9,JEE Main / COMEDK UGETKCET +2,4,3.86,14.27,9.06,3.9,8.0,8.0,8.0
"Indian Institute of Technology, BHU, Varanasi",Varanasi,30,4.3,JEE Main / JEE Advanced,2,8.0,10.0,9.0,4.3,20.0,20.0,20.0
C. V. Raman Global University,Bhubaneswar,22,4.0,JEE Main / OJEECGET +1,3,3.9,12.0,7.95,4.0,5.2,5.2,5.2
Vardhaman College of Engineering,Hyderabad,10,4.1,TS EAMCET,1,5.0,5.6,5.3,4.1,6.25,6.25,6.25
MGM's College of Engineering and Technology,Navi Mumbai,15,3.6,MHT CETJEE Main / ICAR AIEEA +2,4,2.08,3.03,2.55,3.1,,,
Velagapudi Ramakrishna Siddhartha Engineering College,Vijayawada,10,4.2,JEE Main / AP EAMCETCBSE 12th / BIEAP +3,6,2.91,3.06,2.99,4.2,4.0,4.0,4.0
"Pune Institute of Computer Technology, Society for Computer Technology and Research",Pune,9,4.1,MHT CETJEE Main,1,2.44,3.13,2.78,4.1,7.0,9.69,8.34
VIT-AP University,Amaravati,18,4.0,AP EAMCETVITEEE,1,4.87,7.8,6.34,4.0,7.0,8.0,7.5
CMR College of  Engineering and Technology,Hyderabad,13,4.2,TS EAMCETTSEd / CET,2,2.25,4.6,3.42,4.2,4.25,4.25,4.25
MLR Institute of Technology,Hyderabad,17,4.3,TS EAMCETTS ECET,1,2.1,4.4,3.25,4.3,5.03,5.03,5.03
Muffakham Jah College of Engineering and Technology,Hyderabad,10,4.2,TS EAMCET,1,5.0,5.0,5.0,4.2,6.98,6.98,6.98
Shri Dharmasthala Manjunatheshwara College of Engineering and Technology,Dharwad,9,4.1,COMEDK UGETKCETDCET +2,3,1.35,10.46,5.9,4.1,5.5,5.5,5.5
JNNCE - Jawaharlal Nehru National College of Engineering,Shimoga,13,3.8,COMEDK UGETKCET,1,3.2,7.44,5.32,3.8,3.5,3.5,3.5
"School of Engineering and Technology, Manav Rachna International Institute of Research and Studies",Faridabad,30,3.8,JEE Main / MRNATSAT India +2,4,4.4,12.56,8.48,3.8,3.1,3.1,3.1
Vivekanand Education Society’s Institute of Technology,Mumbai,7,4.0,MHT CETJEE Main / MAH CET +2,4,3.28,4.37,3.82,4.0,6.5,6.5,6.5
Sri Sairam College of Engineering,Bangalore,7,3.8,COMEDK UGETKCET,1,2.76,7.44,5.1,3.8,5.5,5.5,5.5
Alliance School of Applied Engineering,Bangalore,24,3.8,JEE Main / COMEDK UGETJEE Advanced / KCETCBSE 12th / ISCKarnataka 2nd PUC +6,10,8.0,16.0,12.0,3.1,,,
GMR Institute of Technology - GMRIT,Andhra Pradesh - Other,18,4.1,AP EAMCETAP ECET,1,2.64,3.11,2.88,3.9,,,
"Atharva College of Engineering, The Atharva Educational Trust",Mumbai,11,3.9,MHT CETJEE Main,1,1.46,2.88,2.17,3.4,,,
Walchand Institute of Technology,Solapur,10,3.9,MHT CETJEE Main,1,2.82,3.95,3.38,3.9,4.38,4.38,4.38
IPS Academy,Indore,14,3.9,JEE Main / MPPET,2,4.25,4.83,4.54,3.9,4.45,4.45,4.45
"SRM University, Delhi-NCR, Sonepat, Haryana (SRMUH)",Sonepat,19,3.6,JEE Main / SRMJEEESRMHCATSAT India / NEETIPU CET +5,8,4.88,12.0,8.44,3.3,,,
NHCE Bangalore - New Horizon College of Engineering,Bangalore,5,4.2,KCET,1,10.0,15.0,12.5,4.1,,,
J K Institute of Engineering,BilasPur,6,5.0,JEE Main / CG PET,2,2.6,2.6,2.6,5.0,,,
KEC - Kongu Engineering College,Erode,15,4.2,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,2.0,2.0,4.2,4.3,4.5,4.4
Hyderabad Institute of Technology and Management,Hyderabad,10,4.0,JEE Main / CBSE 12th / ISCTSBIESAT India +4,7,3.6,7.5,5.55,3.7,,,
"Cambridge Institute of Technology, K R Puram",Bangalore,9,4.3,COMEDK UGETKCET,1,6.0,20.0,13.0,4.2,,,
United Group of Institutions - UGI Allahabad,Allahabad,8,3.8,JEE Main / UPTAC,2,1.65,2.45,2.05,3.6,,,
KCC Institute of Technology and Management,Greater Noida,20,4.0,JEE Main,1,2.84,4.58,3.71,3.6,,,
VNIT Nagpur - Visvesvaraya National Institute of Technology,Nagpur,8,4.1,JEE Main / DASA UG,2,5.0,5.0,5.0,4.1,7.0,11.12,9.06
RVR and JC College of Engineering,Guntur,14,4.3,JEE Main / AP EAMCET,2,2.78,4.2,3.49,4.3,4.0,4.0,4.0
SCMS School of Engineering and Technology,Kochi,10,3.8,JEE Main / KEAM,2,1.6,2.0,1.8,3.5,,,
"Quantum School of Technology (Admission Office), Quantum University",Dehradun,7,3.5,JEE Main / UKSEE,2,4.62,7.33,5.98,3.1,,,
Haridwar University,Roorkee,39,4.3,JEE Main / CBSE 12th / ISCUK 12th +3,6,3.47,5.97,4.72,4.3,,,
Guru Nanak Institutions Technical Campus,Hyderabad,13,4.1,TS EAMCET,1,3.21,4.8,4.0,4.1,5.0,5.0,5.0
Sinhgad College of Engineering,Pune,8,4.0,MHT CETJEE Main / ICAR AIEEA +2,4,4.42,4.42,4.42,4.0,4.6,4.6,4.6
BV Raju Institute of Technology,Hyderabad,20,4.4,TS EAMCETTS ECET,1,3.6,5.4,4.5,4.4,4.01,4.01,4.01
"KIIT School of Computer Engineering, Kalinga Institute of Industrial Technology",Bhubaneswar,12,4.2,KIITEE,1,9.87,17.6,13.74,4.2,7.5,7.5,7.5
R.M.D. Engineering College,Tamil Nadu - Other,7,4.1,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,2.0,2.0,4.1,4.8,4.8,4.8
Agni College of Technology,Chennai,21,4.1,CBSE 12th / ISCTamilnadu 12th +1,3,1.5,2.0,1.75,4.1,3.72,3.72,3.72
BVRIT Hyderabad College of Engineering for Women,Hyderabad,5,4.6,TS EAMCET,1,4.8,4.8,4.8,4.7,,,
KG Reddy College of Engineering and Technology,Hyderabad,7,4.1,TS EAMCET,1,4.0,4.0,4.0,4.1,4.5,5.0,4.75
Xavier Institute of Engineering,Mumbai,4,3.9,MHT CETJEE Main,1,5.54,5.54,5.54,3.9,5.0,5.0,5.0
"Faculty of Engineering and Technology, M.S. Ramaiah University of Applied Sciences",Bangalore,22,3.7,COMEDK UGETKCETRUASATUni-GAUGE +3,4,7.2,21.0,14.1,3.7,5.5,7.5,6.5
Vidya Jyothi Institute of Technology,Hyderabad,13,4.0,TS EAMCETTSEd / CET,2,2.06,4.6,3.33,4.0,4.11,4.11,4.11
SECE - Sri Eshwar College of Engineering,Coimbatore,15,4.2,CBSE 12th / ISCTamilnadu 12th +1,3,1.2,2.0,1.6,4.2,3.5,3.5,3.5
"Madras Institute of Technology, Anna University",Chennai,11,4.2,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,2.0,2.0,4.2,6.0,8.0,7.0
Nutan Maharashtra Institute of Engineering and Technology,Pune,12,4.2,MHT CETJEE Main,1,2.53,3.69,3.11,4.2,2.75,2.75,2.75
Vishnu Institute of Technology (VIT Bhimavaram),Bhimavaram,11,4.3,AP EAMCET,1,2.4,4.12,3.26,4.3,4.5,4.5,4.5
Techno International New Town,Kolkata,23,3.9,JEE Main / WBJEEWBJEE JELETCBSE 12th / ISCWBCHSE +5,8,3.62,7.65,5.64,3.9,4.2,4.2,4.2
S.A. Engineering College,Chennai,18,3.7,CBSE 12th / ISCTamilnadu 12th +1,3,1.2,2.0,1.6,3.7,3.5,3.5,3.5
"School of Computer Science, UPES",Dehradun,11,4.1,JEE Main / UPESEATSAT India / Christ University Entrance Test CUETICAR AIEEAIISER Entrance Exam / OUAT Entrance Exam / SETUGATPantnagar University Entrance Exam +9,14,4.56,20.95,12.76,4.1,,,
Sant Longowal Institute of Engineering and Technology,Sangrur,12,4.0,JEE Main / CBSE 12th / ISCPSEB +3,6,2.1,2.62,2.36,4.0,4.3,4.3,4.3
SCE - Shivalik College of Engineering,Dehradun,11,3.9,CBSE 12th / ISCUK 12th / UKSEE +2,5,2.65,5.6,4.12,3.7,,,
Hindusthan Institute of Technology,Coimbatore,9,4.3,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,6.0,4.0,4.3,4.15,4.25,4.2
