college_name,location,num_courses_offered,college_rating,exams_accepted,exam_count,min_fees,max_fees,avg_fees,placement_rating,min_package,max_package,avg_package
"RCC Institute of Information Technology, Kolkata",Kolkata,7,3.8,JEE Main / WBJEE,2,2.4,6.04,4.22,3.8,4.5,4.5,4.5
Feroze Gandhi Institute of Engineering and Technology,Uttar Pradesh - Other,8,2.9,JEE Main / UPTAC,2,2.33,2.45,2.39,2.7,,,
"B.P. Poddar Institute of Management and Technology, Poddar Vihar",Kolkata,8,3.6,JEE Main / WBJEEWBJEE JELET +2,4,4.57,5.99,5.28,3.8,,,
Prof. Ram Meghe Institute of Technology and Research,Amravati,9,3.9,MHT CETJEE Main,1,3.32,4.61,3.96,3.9,3.85,3.85,3.85
Siddhant College of Engineering,Pune,12,3.1,MHT CETJEE Main,1,2.26,2.6,2.43,2.2,,,
"The National Institute of Engineering, North Campus",Mysore,4,3.9,JEE Main / COMEDK UGETKCET +2,4,2.83,5.16,4.0,3.9,7.5,7.5,7.5
MCE - Malnad College of Engineering,Hassan,14,3.9,COMEDK UGETKCET,1,1.63,10.46,6.04,3.9,7.0,7.0,7.0
Samrat Ashok Technological Institute,Vidisha,19,3.4,JEE Main / MPPETMP BE +2,4,1.35,4.8,3.08,3.4,4.5,4.5,4.5
"KDK College of Engineering, Nagpur",Nagpur,10,4.0,MHT CETJEE Main,1,2.84,4.92,3.88,3.6,,,
"Government College of Engineering, Chandrapur",Chandrapur,7,3.6,MHT CETJEE Main,1,75.88,1.0,38.44,3.6,2.5,2.5,2.5
VIVA Institute of Technology,Palghar,8,3.5,MHT CETJEE Main,1,2.39,2.39,2.39,3.1,,,
Matoshri College of Engineering and Research Centre,Nashik,9,3.9,MHT CETJEE Main,1,2.57,3.2,2.88,3.9,,,
SAE - Sinhgad Academy of Engineering,Pune,8,3.7,MHT CETJEE Main,1,3.55,3.55,3.55,3.7,4.0,4.0,4.0
LDRP Institute of Technology and Research,Gandhinagar,10,3.8,JEE Main / GUJCET,2,4.56,4.56,4.56,3.6,,,
Universal SkillTech University,Mumbai,5,3.7,MHT CETJEE Main,1,2.25,2.25,2.25,3.7,5.0,5.0,5.0
Aditya Institute of Technology and Management,Andhra Pradesh - Other,15,4.0,JEE Main / AP EAMCETAP ECETJEE Advanced / VSATCBSE 12th / BIEAP +6,10,2.16,3.18,2.67,3.8,,,
"School of Engineering and Technology, ITM University, Gwalior",Gwalior,10,3.8,JEE Main / ITM NEST,2,4.04,8.08,6.06,3.6,,,
TOMS College of Engineering and Polytechnic,Kottayam,9,4.6,KEAMCBSE 12th / ISCKerala 12th +3,5,40.0,1.4,20.7,4.5,,,
GCE - Ghousia College of Engineering,Karnataka - Other,7,3.2,KCET,1,3.6,3.6,3.6,2.1,,,
"Chitkara University, Himachal Pradesh",Solan,6,4.1,JEE Main / CUET,2,4.2,7.55,5.88,4.1,8.5,8.5,8.5
S. B. Patil College of Engineering,Pune,8,3.9,MHT CETJEE Main,1,1.9,2.58,2.24,3.9,3.5,3.5,3.5
"Department of Technology, Shivaji University",Kolhapur,12,3.7,MHT CETJEE Main / ICAR AIEEA +2,4,2.37,3.3,2.84,3.7,4.0,4.0,4.0
Usha Martin University,Ranchi,17,4.0,CBSE 12th / ISCJAC 12th +1,3,3.6,6.4,5.0,3.7,,,
"MIT School of Bio-Engineering Sciences and Research, MIT-ADT University",Pune,2,4.2,MHT CETJEE Main / PERA CETNEET +3,5,9.43,12.02,10.72,4.0,,,
Echelon Institute of Technology,Faridabad,18,3.3,JEE Main / HSTES,2,2.48,3.7,3.09,2.5,,,
Ganga Institute of Technology and Management,Delhi,16,3.4,JEE Main / CBSE 12th / ISC +2,5,2.34,3.12,2.73,2.5,,,
Geeta University,Panipat,23,4.2,HSTESCUETHSTES LEETCBSE 12th / ISCHBSE 12th +4,6,2.79,7.92,5.36,4.0,,,
"Prof Ram Meghe College of Engineering and Management, Badnera",Amravati,7,3.8,MHT CETJEE Main,1,2.93,2.93,2.93,3.8,3.5,3.5,3.5
"Rajiv Gandhi Institute of Technology, Kerala",Kottayam,13,4.3,KEAM,1,34.6,67.22,50.91,4.3,4.5,4.5,4.5
BGS Institute of Technology,Karnataka - Other,12,3.9,COMEDK UGETKCET,1,2.8,10.46,6.63,3.9,3.85,3.85,3.85
BIET - Bapuji Institute of Engineering and Technology,Davangere,15,3.8,COMEDK UGETKCET,1,3.38,7.44,5.41,3.8,3.6,3.6,3.6
Babu Banarasi Das National Institute of Technology and Management,Lucknow,18,3.6,JEE Main / UPTAC,2,2.45,3.34,2.9,2.9,,,
Sri Aurobindo Institute of Technology,Indore,11,3.6,JEE Main / MPPET,2,75.0,2.8,38.9,3.1,,,
ACS College of Engineering,Bangalore,18,3.8,JEE Main / COMEDK UGETKCETDCET +3,5,1.76,10.46,6.11,3.8,3.0,3.0,3.0
SVCE - Sri Venkateshwara College of Engineering,Bangalore,9,3.7,COMEDK UGETKCET,1,3.6,7.44,5.52,3.7,3.8,3.8,3.8
Sipna College of Engineering and Technology,Amravati,7,3.9,MHT CETJEE Main,1,3.14,3.2,3.17,3.9,5.9,5.9,5.9
GSSS Institute of Engineering and Technology for Women,Mysore,12,4.6,COMEDK UGETKCET,1,3.78,7.18,5.48,4.6,4.5,6.8,5.65
Ashoka Institute of Technology and Management,Varanasi,14,3.4,JEE Main / UPTACCUET +2,4,2.45,2.63,2.54,3.0,,,
Siliguri Institute of Technology,Siliguri,7,3.9,JEE Main / WBJEE,2,4.84,4.84,4.84,3.5,,,
Scaler School of Technology,Bangalore,1,3.8,CBSE 12th / ISCKarnataka 2nd PUC +1,3,17.0,17.0,17.0,4.4,,,
SNDT College,Mumbai,4,5.0,MHT CETJEE Main / CBSE 12th / ISCMaharashtra HSC +4,7,6.87,6.87,6.87,5.0,3.0,8.0,5.5
RajaRajeswari College of Engineering,Bangalore,15,3.5,JEE Main / COMEDK UGETKCET +2,4,75.97,10.46,43.22,3.1,,,
ATLAS SkillTech University,Mumbai,2,4.0,MHT CETJEE Main,1,18.56,18.56,18.56,4.0,,,
"G H Patel College of Engineering and Technology, CVM University",Vallabh Vidyanagar,11,3.8,JEE Main / GUJCET,2,4.76,4.76,4.76,3.8,2.95,2.95,2.95
JIS University,Kolkata,8,4.0,WBJEECBSE 12th / ISCWBCHSE +3,5,3.53,12.0,7.76,4.0,3.5,3.5,3.5
Loyola Institute of Technology,Chennai,13,3.5,CBSE 12th / ISCTamilnadu 12th +1,3,1.65,2.0,1.82,3.5,2.6,2.6,2.6
Padmashri Dr. Vithalrao Vikhe Patil College of Engineering (PDVVCOE),Ahmednagar,13,3.5,MHT CETJEE Main / CBSE 12th / ISCMaharashtra HSC +4,7,2.54,4.07,3.3,2.7,,,
"NIMS Institute of Engineering and Technology, NIMS University",Jaipur,81,3.9,CBSE 12th / ISCRBSE 12th / NIMSEERajasthan JET Agriculture +3,6,3.6,8.25,5.92,3.4,,,
Dr. Mahalingam College of Engineering and Technology,Coimbatore,23,4.0,CBSE 12th / ISCTamilnadu 12th +1,3,1.5,2.0,1.75,4.0,4.0,4.0,4.0
Lamrin Tech Skills University,Shahid Bhagat Singh Nagar,20,4.3,JEE Main / CBSE 12th / ISCPSEB 12th / CUET +4,8,1.2,6.6,3.9,4.3,,,
Rameshwaram Institute of Technology and Management,Lucknow,7,3.5,JEE Main / UPTAC,2,2.23,3.51,2.87,3.5,,,
"Bapatla Engineering College, Bapatla Education Society",Guntur,20,3.8,JEE Main / AP EAMCETCBSE 12th / BIEAP +3,6,2.25,3.4,2.82,3.8,4.0,4.0,4.0
"Government Engineering College, Rajkot",Rajkot,9,4.1,JEE Main / GUJCET,2,6.0,6.0,6.0,4.1,3.25,3.25,3.25
College of Technology and Engineering,Udaipur,10,3.8,JEE Main / REAP,2,1.96,1.96,1.96,3.8,4.2,4.2,4.2
Rewa Engineering College,Madhya Pradesh - Other,6,3.7,JEE Main / MP BEMPPET +2,4,1.49,1.99,1.74,3.7,4.0,4.0,4.0
VIT - Vemana Institute of Technology,Bangalore,13,3.5,COMEDK UGETKCETDCET +2,3,3.01,7.44,5.22,3.1,,,
"NMIMS, Indore",Indore,3,4.5,NMIMS CETNMIMS - NPAT,1,8.08,14.25,11.16,4.5,8.0,8.5,8.25
BITM - Ballari Institute of Technology and Management,Ballari,7,3.9,COMEDK UGETKCET,1,6.0,13.0,9.5,3.7,,,
Dr. S. S. Bhatnagar University Institute of Chemical Engineering and Technology,Chandigarh,3,4.1,JEE Main / JAC Chandigarh,2,92.46,5.6,49.03,4.1,3.5,6.75,5.12
Government Sri Krishnarajendra Silver Jubilee Technological Institute,Bangalore,5,3.4,KCET,1,1.63,1.63,1.63,2.0,,,
Bharati Vidyapeeth's College of Engineering,Kolhapur,11,3.8,MHT CETJEE Main,1,2.27,3.14,2.7,3.8,3.6,3.6,3.6
Canara Engineering College,Mangalore,9,3.9,JEE Main / COMEDK UGETKCETKRLMPCA CET +3,5,3.86,12.0,7.93,3.8,,,
Pillai HOC College of Engineering and Technology,Raigad,12,4.0,MHT CETJEE Main,1,2.97,3.99,3.48,4.0,3.6,3.6,3.6
Malla Reddy Engineering College And Management Sciences,Hyderabad,10,3.6,TS EAMCET,1,2.8,2.8,2.8,3.4,,,
"Dhanalakshmi Srinivasan College of Engineering,Coimbatore",Coimbatore,10,3.8,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,2.0,2.0,3.8,5.0,5.0,5.0
United University,Allahabad,10,4.0,CBSE 12th / UP 12th / ISC +2,5,4.59,5.6,5.1,3.7,,,
"Newton School of Technology - Ajeenkya DY Patil University, Pune",Pune,1,3.8,NSAT,1,12.5,12.5,12.5,4.0,,,
RGPV - Rajiv Gandhi Proudyogiki Vishwavidyalaya,Bhopal,7,4.1,JEE Main / MPPET,2,1.6,1.6,1.6,4.1,4.25,4.25,4.25
Mahatma Jyotiba Phule Rohilkhand University,Bareilly,10,3.5,JEE Main,1,1.65,3.01,2.33,3.5,5.0,5.0,5.0
East West Institute of Technology,Bangalore,11,3.3,COMEDK UGETKCET,1,3.86,7.44,5.65,2.7,,,
"Maharaja Institute of Technology, Mysore",Mysore,14,3.6,COMEDK UGETKCET,1,3.86,7.44,5.65,3.6,6.0,6.0,6.0
Swami Devi Dyal Group of Professional Institutions,Panchkula,12,3.6,JEE Main,1,3.02,4.02,3.52,3.0,,,
Dr. D Y Patil Pratishthan's College of Engineering,Kolhapur,5,3.9,MHT CETJEE Main,1,2.79,2.79,2.79,3.9,,,
Shreeyash College of Engineering and Technology,Aurangabad,11,3.9,MHT CETJEE Main,1,2.86,2.86,2.86,3.7,,,
Jeppiaar Engineering College,Chennai,12,3.7,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,2.0,2.0,3.7,4.5,4.5,4.5
Punjabi University Patiala,Patiala,10,3.7,JEE Main / CBSE 12th / ISCPSEB 12th +3,6,3.57,12.27,7.92,3.7,3.6,5.0,4.3
Coochbehar Government Engineering College,West Bengal - Other,5,4.1,JEE Main / WBJEE,2,24.0,48.0,36.0,3.4,,,
Karpagam Institute of Technology,Coimbatore,6,3.6,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,2.0,2.0,4.1,,,
Anna University - Madurai Regional Campus,Madurai,6,3.3,CBSE 12th / ISCTamilnadu 12th +1,3,48.0,48.0,48.0,3.3,7.5,7.5,7.5
Dr. D.Y. Patil School Of Engineering,Pune,8,3.7,MHT CETJEE Main / CBSE 12th / ISCMaharashtra HSC +4,7,2.48,3.61,3.04,2.9,,,
Shri Vaishnav Vidyapeeth Vishwavidyalaya,Indore,56,3.6,JEE Main,1,2.89,5.44,4.16,3.6,3.36,3.6,3.48
"Global Institute of Technology, Jaipur",Jaipur,8,3.8,JEE Main / REAP,2,3.84,3.84,3.84,3.8,3.5,4.0,3.75
KJ College of Engineering and Management Research,Pune,7,4.4,MHT CETJEE Main,1,2.26,3.02,2.64,4.2,,,
"University College of Engineering, Kakinada, Jawaharlal Nehru Technological University, Kakinada",Kakinada,8,3.9,AP EAMCET,1,40.0,1.8,20.9,3.9,4.46,4.46,4.46
"Agricultural College and Research Institute, Coimbatore-Tamil Nadu Agricultural University",Coimbatore,6,3.7,ICAR AIEEACBSE 12th / ISCTamilnadu 12th +3,5,36.0,36.0,36.0,3.7,3.7,3.7,3.7
Mohamed Sathak A J College of Engineering,Chennai,20,3.8,CBSE 12th / ISCTamilnadu 12th +1,3,1.5,2.0,1.75,3.8,2.5,2.5,2.5
Dhanalakshmi College of Engineering,Chennai,13,3.6,CBSE 12th / ISCTamilnadu 12th +1,3,1.5,2.0,1.75,3.5,,,
Navsahyadri Education Society's Group of Institutions,Pune,7,3.8,MHT CETJEE Main,1,3.3,3.3,3.3,3.4,,,
Anjuman-I-Islam's Kalsekar Technical Campus,Navi Mumbai,10,3.8,MHT CETJEE Main,1,2.46,3.19,2.82,3.8,3.0,3.0,3.0
Saranathan College of Engineering,Tiruchirappalli,13,3.9,CBSE 12th / ISCTamilnadu 12th +1,3,1.95,2.0,1.98,3.9,3.5,3.5,3.5
Govind Ballabh Pant Institute of Engineering and Technology,Uttarakhand - Other,10,3.4,CBSE 12th / ISCUK 12th +1,3,1.11,2.64,1.88,2.9,,,
Assam Downtown University powered by Sunstone,Guwahati,6,3.9,CBSE 12th / ISCAHSEC +1,3,4.1,5.6,4.85,3.4,,,
Pune Vidyarthi Griha's College Of Engineering,Nashik,5,3.9,MHT CETJEE Main,1,2.17,2.17,2.17,3.6,,,
"Baba Farid College, Baba Farid Group of Institutions",Bathinda,16,3.9,JEE Main / CBSE 12th / ISCPSEB 12th +3,6,2.85,4.8,3.82,3.3,,,
Siddharth Institute of Engineering and Technology (SIETK),Andhra Pradesh - Other,14,3.8,AP EAMCETCBSE 12th / BIEAP +2,4,1.48,2.62,2.05,3.8,5.5,5.5,5.5
Netaji Subhas University,Jamshedpur,14,3.8,CBSE 12th / ISCJAC 12th +1,3,2.1,4.0,3.05,3.8,17.0,17.0,17.0
Shree Santkrupa Institute Of Engineering & Technology,Satara,4,4.8,MHT CETJEE Main,1,3.2,3.2,3.2,5.0,,,
"Government Engineering College, Bharuch",Bharuch,6,4.0,JEE Main / GUJCET,2,6.0,6.0,6.0,3.6,,,
"Parala Maharaja Engineering College, Biju Patnaik University of Technology",Brahmapur,18,3.9,JEE Main / OJEE,2,79.7,1.04,40.37,3.9,2.8,2.8,2.8
"G H Raisoni University, Amravati",Amravati,14,3.8,CBSE 12th / ISCMaharashtra HSC +1,3,2.46,4.88,3.67,3.3,,,
MNR University,Hyderabad,4,3.2,CBSE 12th / ISCTSBIE +1,3,12.0,12.0,12.0,3.0,,,
SSBT’s College of Engineering and Technology,Jalgaon,9,3.8,MHT CETJEE Main / ICAR AIEEA +2,4,1.81,2.4,2.1,3.8,2.8,2.8,2.8
Bengal Institute of Technology,Kolkata,5,3.7,JEE Main / WBJEE,2,3.56,3.97,3.76,3.7,4.0,4.0,4.0
Academy of Maritime Education and Training,Chennai,14,3.5,CBSE 12th / ISCTamilnadu 12th / Amrita CAT +2,5,3.6,15.4,9.5,3.5,3.5,3.5,3.5
Vignan's LARA Institute of Technology & Science,Andhra Pradesh - Other,10,4.2,AP EAMCETCBSE 12th / BIEAP +2,4,1.72,2.8,2.26,4.1,,,
IES University,Bhopal,10,3.3,JEE Main / CBSE 12th / ISCMPBSE 12th / CUET +4,8,90.0,2.4,46.2,2.9,,,
Jhulelal Institute of Technology,Nagpur,8,4.0,MHT CETJEE Main,1,2.19,3.83,3.01,3.9,,,
Vikrant University,Gwalior,26,4.1,JEE Main / CBSE 12th / ISCMPBSE 12th / MP BE +4,8,1.8,3.2,2.5,3.6,,,
CIT Ranchi - Cambridge Institute of Technology,Ranchi,10,3.5,JEE Main / JEECE,2,1.82,2.38,2.1,3.5,3.0,3.0,3.0
Sri Subramanya College of Engineering and Technology,Tamil Nadu - Other,7,2.5,CBSE 12th / ISCTamilnadu 12th +1,3,0.0,2.0,1.0,1.0,,,
Puran Murti Campus,Sonepat,31,3.3,JEE Main / CBSE 12th / ISCHBSE 12th / HSTESAME CET +5,9,1.84,9.2,5.52,2.8,,,
K.S. Group of Institutions,Bangalore,15,3.7,JEE Main / COMEDK UGETKCETDCET +3,5,2.7,10.46,6.58,3.7,3.7,3.7,3.7
"Government College of Engineering and Textile Technology, Serampore",Serampore,5,3.9,JEE Main / WBJEE,2,28.9,1.02,14.96,3.8,,,
SSIT - Sri Siddhartha Institute of Technology,Tumkur,19,3.9,KCET,1,3.86,3.86,3.86,3.9,4.2,4.2,4.2
Institute of Advanced Research,Gandhinagar,5,4.3,JEE Main / GUJCET,2,2.52,2.74,2.63,3.8,,,
BCET - Bangalore College of Engineering and Technology,Bangalore,9,3.3,COMEDK UGETKCET,1,2.0,4.0,3.0,2.8,,,
Indira Gandhi Engineering College (IGEC),Jabalpur,6,3.5,JEE Main / MP BEMPPET +2,4,97.12,1.04,49.08,2.8,,,
St. Joseph's Institute of Technology,Chennai,9,4.0,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,2.0,2.0,4.0,4.25,4.25,4.25
"University B.D.T College of Engineering, Visvesvaraya Technological University",Davangere,8,3.7,KCET,1,1.63,1.63,1.63,3.3,,,
"The ICFAI University, Jaipur",Jaipur,11,4.0,CUET,1,3.3,4.4,3.85,3.9,,,
IEC College of Engineering and Technology,Greater Noida,8,3.7,JEE Main / UPTAC,2,2.45,4.63,3.54,3.5,,,
"R.H. Sapat College of Engineering, Management Studies and Research",Nashik,8,3.9,MHT CETJEE Main,1,1.72,2.29,2.0,3.9,3.5,3.5,3.5
Karpagam Academy of Higher Education - KAHE Coimbatore,Coimbatore,13,3.9,CBSE 12th / ISCTamilnadu 12th / KEE +2,5,1.85,1.85,1.85,3.9,2.4,2.4,2.4
KIIT College of Engineering,Gurgaon,7,3.4,JEE Main / HSTESCBSE 12th / ISCHBSE 12th +4,7,2.25,2.4,2.33,3.0,,,
"University College of Engineering, Bharathidasan Institute of Technology, Tiruchirappalli, Anna University",Tiruchirappalli,19,3.8,CBSE 12th / ISCTamilnadu 12th +1,3,48.0,48.0,48.0,3.8,7.5,7.5,7.5
Sasi Institute of Technology and Engineering,West Godavari,12,3.7,AP EAMCETCBSE 12th / BIEAP +2,4,1.72,1.72,1.72,3.7,3.5,3.5,3.5
Alamuri Ratnamala Institute of Engineering and Technology,Thane,10,2.9,MHT CETJEE Main,1,1.65,2.33,1.99,2.8,,,
Jorhat Engineering College,Jorhat,6,3.9,JEE Main / JEE Advanced / Assam CEE +2,5,33.0,44.0,38.5,3.2,,,
Doon University,Dehradun,1,3.8,JEE Main,1,3.2,3.2,3.2,3.8,5.0,5.0,5.0
Adithya Institute of Technology - AIET,Coimbatore,7,3.4,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,2.0,2.0,3.1,,,
Nalanda Institute of Technology,Bhubaneswar,7,3.9,JEE Main / OJEE,2,2.84,2.84,2.84,3.9,2.5,2.5,2.5
"Srinivas Institute of Technology, Srinivas Group of Colleges",Mangalore,14,3.9,COMEDK UGETKCET,1,3.86,7.12,5.49,3.9,3.25,3.25,3.25
Alard College of Engineering and Management,Pune,13,3.5,MHT CETJEE Main,1,2.17,2.17,2.17,3.0,,,
Drs. Kiran and Pallavi Patel Global University,Vadodara,6,3.7,JEE Main / GUJCET,2,4.94,4.94,4.94,3.2,,,
Deccan College of Engineering and Technology,Hyderabad,18,3.2,TS EAMCETAP ECET,1,1.93,3.04,2.48,2.6,,,
"Sharad Institute of Technology, College of Engineering",Kolhapur,11,3.6,MHT CETJEE Main,1,2.35,3.13,2.74,3.6,2.1,2.1,2.1
PDA College of Engineering,Gulbarga,15,3.6,COMEDK UGETKCET,1,1.63,7.44,4.54,3.6,3.6,3.6,3.6
CEPT University,Ahmedabad,1,3.8,JEE Main,1,22.75,22.75,22.75,3.8,,,
Aditya College of Engineering,Andhra Pradesh - Other,10,4.1,AP EAMCET,1,1.52,1.72,1.62,4.1,4.0,4.0,4.0
ATME College of Engineering,Mysore,10,4.2,COMEDK UGETKCET,1,3.86,7.44,5.65,4.2,3.5,3.5,3.5
Nagarjuna College of Engineering and Technology,Bangalore,7,3.7,COMEDK UGETKCETCBSE 12th / ISCKarnataka 2nd PUC +4,6,9.0,10.46,9.73,3.7,4.0,4.0,4.0
"SHUATS - Sam Higginbottom University of Agriculture, Technology and Sciences",Allahabad,13,3.6,SHIATS Entrance Exam,1,2.76,5.6,4.18,3.6,3.75,3.75,3.75
Ramkrishna Mahato Government Engineering College,Purulia,6,4.0,JEE Main / WBJEE,2,24.0,48.0,36.0,3.6,,,
Shri Siddhi Vinayak Group of Institutions,Bareilly,7,3.9,UPTACCBSE 12th / UP 12th / ISC +3,6,2.4,3.2,2.8,3.9,4.5,4.5,4.5
"KIIT School of Electrical Engineering, Kalinga Institute of Industrial Technology",Bhubaneswar,4,4.2,KIITEE,1,9.87,14.0,11.93,4.2,7.5,7.5,7.5
Rai University,Ahmedabad,7,3.4,JEE Main / GUJCET,2,1.92,2.68,2.3,3.4,4.4,4.4,4.4
Karpaga Vinayaga College of Engineering and Technology,Madhuranthagam,10,3.9,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,2.0,2.0,3.5,,,
K.L.E Society's K.L.E Institute of Technology,Hubli,7,3.9,COMEDK UGETKCET,1,3.15,10.46,6.81,3.9,3.75,3.75,3.75
"Padmabhooshan Vasantraodada Patil Institute of Technology, Budhgaon",Sangli,16,3.4,MHT CETJEE Main,1,2.24,2.99,2.62,3.4,3.5,3.5,3.5
Vaagdevi College of Engineering,Warangal,12,4.0,TS EAMCETTSEd / CET,2,2.58,4.2,3.39,4.0,3.65,3.65,3.65
Thangal Kunju Musaliar Institute of Technology,Kollam,9,3.8,KEAM,1,2.0,2.0,2.0,3.8,4.5,4.5,4.5
Bengal College of Engineering and Technology,Durgapur,18,3.6,JEE Main / WBJEE,2,2.67,5.5,4.08,3.6,3.8,3.8,3.8
MAM College of Engineering,Tiruchirappalli,16,3.1,CBSE 12th / ISCTamilnadu 12th +1,3,1.7,2.0,1.85,3.1,3.0,3.0,3.0
B K Birla Institute of Engineering and Technology,Pilani,15,3.8,JEE Main / REAP,2,1.96,2.68,2.32,3.8,3.6,3.6,3.6
Indala College of Engineering,Thane,6,3.0,MHT CETJEE Main,1,2.4,2.4,2.4,1.7,,,
Institute of Engineering & Technology,Lucknow,9,3.8,CBSE 12th / UP 12th / ISC +2,5,2.45,2.45,2.45,3.8,5.7,5.7,5.7
Maharashtra State Skills University,Mumbai,4,3.6,CUETCBSE 12th / ISCMaharashtra HSC +3,5,4.4,4.4,4.4,3.0,,,
A.J. Institute of Engineering and Technology,Karnataka - Other,11,4.1,KCET,1,3.86,3.86,3.86,4.1,3.63,3.63,3.63
IILM University,Gurgaon,7,5.0,CBSE 12th / ISCHBSE 12th +1,3,10.8,10.8,10.8,5.0,,,
Goa College of Engineering,Ponda,7,4.0,JEE Main / NEET,2,3.04,3.04,3.04,4.0,4.0,4.0,4.0
"Vishwaniketan’s Institute of Management, Entrepreneurship and Engineering Technology",Raigad,6,4.1,MHT CETJEE Main,1,2.34,2.34,2.34,4.1,2.75,2.75,2.75
Raj Kumar Goel Institute of Technology and Management (RKGITM),Ghaziabad,7,3.5,JEE Main / UPTACCBSE 12th / UP 12th / ISC +4,8,2.2,3.26,2.73,3.5,3.0,3.5,3.25
ITM Skills University,Navi Mumbai,1,3.8,CBSE 12th / ISCMaharashtra HSC +1,3,16.95,16.95,16.95,5.0,,,
Kommuri Pratap Reddy Institute of Technology,Hyderabad,7,3.7,TS EAMCET,1,2.8,3.6,3.2,3.7,6.56,6.56,6.56
Priyadarshini J.L. College of Engineering,Nagpur,7,3.6,MHT CETJEE Main,1,3.48,3.76,3.62,3.3,,,
Government College of Engineering and Leather Technology - GCELT,Kolkata,4,4.0,JEE Main / WBJEE,2,37.15,1.11,19.13,3.6,,,
Hindu College of Engineering,Sonepat,7,3.3,JEE Main / HSTES,2,1.92,2.29,2.1,2.7,,,
National Forensic Sciences University,Gandhinagar,1,3.8,JEE Main,1,9.0,9.0,9.0,4.4,,,
"JNTUA College of Engineering, Kalikiri",Chittoor,6,3.7,AP EAMCETVITEEE,1,40.0,40.0,40.0,3.7,4.0,4.0,4.0
RGC - Rajiv Gandhi Group of Institution,Bangalore,11,2.6,COMEDK UGETKCET,1,2.2,6.64,4.42,2.1,,,
C.K Pithawalla College of Engineering and Technology,Surat,7,3.7,JEE Main / GUJCET,2,2.64,3.7,3.17,3.1,,,
Srinath University,Jamshedpur,10,3.5,CBSE 12th / ISCJAC 12th +1,3,3.3,4.0,3.65,3.5,6.78,6.78,6.78
Shambhunath Group of Institution,Allahabad,13,3.5,JEE Main / UPTAC,2,2.38,2.45,2.42,3.3,,,
Lingaya’s Vidyapeeth,Faridabad,10,3.3,CUETCBSE 12th / ISCHBSE 12th +3,5,3.75,5.2,4.47,2.8,,,
Avanthi's Scientific Technological and Research Academy,Hyderabad,8,3.9,TS EAMCETTSEd / CET,2,1.5,2.4,1.95,3.5,,,
Karmaveer Bhaurao Patil College of Engineering,Satara,8,3.4,MHT CETJEE Main,1,2.95,3.93,3.44,3.4,3.5,3.5,3.5
SAGE University powered by Sunstone,Indore,4,4.6,CBSE 12th / ISCMPBSE 12th +1,3,6.0,6.0,6.0,3.0,,,
Shivajirao S. Jondhale College of Engineering and Technology,Mumbai,5,3.8,CBSE 12th / ISCMaharashtra HSC +1,3,3.38,3.38,3.38,3.3,,,
Veer Bahadur Singh Purvanchal University [VBSPU],Jaunpur,17,3.3,JEE Main / UPTACPUCAT +2,4,1.8,2.55,2.17,3.3,3.3,3.3,3.3
Baba Saheb Dr. Bhim Rao Ambedkar College of Agricultural Engineering & Technology - Chandra Shekhar Azad University of Agriculture and Technology,Uttar Pradesh - Other,6,3.6,JEE Main / UPTACICAR AIEEAUPCATET +3,5,1.5,1.5,1.5,3.0,,,
Rajasthan Technical University,Kota,11,3.7,JEE Main / REAP,2,1.96,1.96,1.96,3.7,3.75,3.75,3.75
"Jerusalem College of Engineering, Chennai",Chennai,9,3.9,CBSE 12th / ISCTamilnadu 12th +1,3,2.6,4.48,3.54,3.9,1.8,1.8,1.8
Royal Global University,Guwahati,6,3.6,JEE Main / Assam CEECUET +2,4,3.9,7.2,5.55,2.6,,,
Sir C R Reddy College of Engineering,West Godavari,10,4.1,AP EAMCETCBSE 12th / BIEAP +2,4,1.65,2.17,1.91,4.1,2.5,2.5,2.5
J.B. Institute of Engineering and Technology,Hyderabad,15,3.6,TS EAMCET,1,3.84,4.4,4.12,3.3,,,
Nawab Shah Alam Khan College of Engineering and Technology (NSAKCET),Hyderabad,10,3.2,TS EAMCET,1,2.4,2.92,2.66,2.8,,,
Dhanekula Inst Of Engineering Technology,Vijayawada,9,3.9,AP EAMCET,1,1.72,1.72,1.72,3.9,4.0,4.0,4.0
KIOT - Knowledge Institute of Technology,Salem,9,4.3,CBSE 12th / ISCTamilnadu 12th +1,3,2.0,2.0,2.0,4.3,3.25,3.25,3.25
"School of Biotechnology and Bioinformatics - D.Y. Patil University, Navi Mumbai",Navi Mumbai,4,4.0,MHT CETJEE Main,1,11.8,11.8,11.8,4.0,7.26,7.26,7.26
"Government Engineering College, Bilaspur",BilasPur,7,3.2,JEE Main / CG PET,2,47.67,47.67,47.67,3.2,3.05,3.05,3.05
Vidyashilp University,Bangalore,1,3.8,JEE Main / KCET,2,20.14,20.14,20.14,4.0,,,
"Government Engineering College, Hassan",Hassan,11,3.8,KCET,1,1.63,1.63,1.63,3.8,3.2,3.2,3.2
Greater Kolkata College of Engineering and Management,Kolkata,10,4.5,JEE Main / WBJEEWBJEE JELET +2,4,2.86,4.02,3.44,4.4,,,
